timestring,pH,Temperature,PAR,LightOut,Actuators
date,,°C,µmol/m²/s,%,
26.04.2024 15:07:36.848,7.42,23.5,728,50,7
26.04.2024 15:07:38.480,7.41,23.5,782,50,7
26.04.2024 15:07:39.563,7.41,23.5,825,50,7
26.04.2024 15:07:40.780,7.42,23.5,925,50,7
26.04.2024 15:07:41.947,7.41,23.5,1061,50,7
26.04.2024 15:07:43.480,7.41,23.5,1176,50,7
26.04.2024 15:07:44.164,7.42,23.5,1253,50,7
26.04.2024 15:07:45.313,7.41,23.5,1305,50,7
26.04.2024 15:07:47.630,7.42,23.5,1243,50,7
26.04.2024 15:07:48.447,7.41,23.5,1212,50,7
26.04.2024 15:07:50.163,7.42,23.5,1194,50,7
26.04.2024 15:07:51.381,7.43,23.5,1253,50,7
26.04.2024 15:07:52.546,7.41,23.5,1327,50,7
